cell,year,x,y,coordinateuncertainty,species,n_habitats
261011755,2008,22.34944,39.6925,8.847415814833576,Silene vulgaris,9
261055008,2008,22.64861,39.68111,88.48050551554738,Silene vulgaris,9
261055025,2008,22.79194,39.6875,0.8847694471275402,Silene vulgaris,9
261487168,2008,22.56333,39.60333,88.52380973668897,Silene vulgaris,9
261573588,2008,22.45194,39.58083,0.8853632343597859,Silene vulgaris,9
262178607,2008,22.29194,39.47083,0.8859741593865206,Silene vulgaris,9
262308275,2008,22.43556,39.445,8.861174095194174,Silene vulgaris,9
262654010,2008,22.4275,39.37444,88.65083268933445,Silene vulgaris,9
262999749,2008,22.44694,39.31139,0.8868571413759093,Silene vulgaris,9
263043049,2011,23.138301,39.303517,25.8869006646525,Silene vulgaris,9
263259050,2008,22.43722,39.25806,8.871518157616684,Silene vulgaris,9
263302243,2008,22.24528,39.2475,0.8872101251614777,Silene vulgaris,9
263561554,2008,22.31833,39.1975,8.87486032723615,Silene vulgaris,9
263777607,2007,22.04556,39.1575,0.8877065463204242,Silene vulgaris,9
263777633,2008,22.26861,39.15528,0.8877187792912744,Silene vulgaris,9
263993705,2007,22.15556,39.11917,0.8879176761816576,Silene vulgaris,9
264036857,2013,21.61611,39.11194,8.879574811133043,Silene vulgaris,9
264209765,2007,21.95056,39.07639,0.8881531125809461,Silene vulgaris,9
264252980,2007,21.93528,39.06528,0.8882142202105912,Silene vulgaris,9
264512253,2007,21.69083,39.01444,88.84936659819058,Silene vulgaris,9
264858103,2005,22.64417,38.95028,0.888845889491128,Silene vulgaris,9
265074098,2007,21.88917,38.91083,0.8890622187878459,Silene vulgaris,9
265074208,2005,22.80917,38.90778,0.8890789361866043,Silene vulgaris,9
265117312,2007,21.86667,38.89667,0.8891398220439887,Silene vulgaris,9
265678990,2020,20.674198,38.794703,8.889697945589969,Silene vulgaris,9
265678995,2020,20.717405,38.795859,4.889691625056342,Silene vulgaris,9
265981709,2019,22.34001,38.735667,0.8900205192395418,Silene vulgaris,9
266024966,2005,22.67278,38.72722,8.900666399291092,Silene vulgaris,9
266802761,2013,21.75361,38.57611,8.908902683936052,Silene vulgaris,9
266889184,2013,21.65667,38.55694,0.8909945606888103,Silene vulgaris,9
266889291,2015,22.548713,38.561242,100.89097115993543,Silene vulgaris,9
266932681,2005,23.98694,38.54889,0.8910383427878552,Silene vulgaris,9
267018840,2013,21.69972,38.53389,0.8911199037458402,Silene vulgaris,9
267148678,2010,23.25472,38.51194,0.8912392062976202,Silene vulgaris,9
267364701,2010,22.73889,38.46444,89.1497181506347,Silene vulgaris,9
267407914,2010,22.71139,38.45611,8.915423944853632,Silene vulgaris,9
267753544,2017,21.822651,38.391788,0.8918912380874815,Silene vulgaris,9
268228784,2012,20.599408,38.299153,10.892392766301404,Silene vulgaris,9
268574686,2010,21.98694,38.23694,0.8927290133766526,Silene vulgaris,9
268617916,2010,22.09417,38.22167,0.8928114734867745,Silene vulgaris,9
268834000,2010,22.08306,38.18306,0.8930198483470233,Silene vulgaris,9
269050083,2010,22.06667,38.14194,0.8932415732078616,Silene vulgaris,9
269136536,2010,22.22472,38.12722,8.933208963066694,Silene vulgaris,9
269309398,2010,22.1725,38.09,89.3521351525663,Silene vulgaris,9
269309426,2010,22.40556,38.09611,8.93488456377137,Silene vulgaris,9
269309614,2018,23.976323,38.089951,10.893521615314821,Silene vulgaris,9
269482249,2010,22.03056,38.06167,0.8936738166995639,Silene vulgaris,9
269525464,2010,22.01639,38.04972,0.89373809983558,Silene vulgaris,9
269525466,2010,22.03278,38.04722,8.937515460240814,Silene vulgaris,9
269612127,2019,23.924485,38.03492,0.8938176903537565,Silene vulgaris,9
269655103,2010,21.91556,38.02306,0.893881451357784,Silene vulgaris,9
269655117,2010,22.03139,38.02917,0.8938486052583003,Silene vulgaris,9
269741788,2006,24.006709,38.012106,39.93940326588116,Silene vulgaris,9
269871254,2007,22.4639,37.9831,0.8940961576149566,Silene vulgaris,9
269957639,2010,22.05528,37.96611,8.941873873132028,Silene vulgaris,9
269957649,2010,22.14194,37.96944,8.941695092378835,Silene vulgaris,9
270044072,2010,22.04722,37.95056,8.942708543920492,Silene vulgaris,9
270260158,2010,22.06028,37.90639,0.8945077854125009,Silene vulgaris,9
270433263,2015,24.035793,37.872508,0.8946893719734224,Silene vulgaris,9
270476477,2016,24.004737,37.868718,0.8947096754471545,Silene vulgaris,9
270519697,2015,24.031883,37.860535,16.947535068460635,Silene vulgaris,9
270692340,2010,22.15528,37.82889,0.8949229342516132,Silene vulgaris,9
270735555,2010,22.14222,37.82056,89.4967513064089,Silene vulgaris,9
270951650,2010,22.22194,37.77278,0.8952230511172847,Silene vulgaris,9
271211016,2011,22.75599,37.727562,8.954646338934666,Silene vulgaris,9
271384386,2019,26.936651,37.690109,33.95664544702955,Mandragora autumnalis,7
271513468,2010,22.2025,37.67083,0.8957673832498225,Silene vulgaris,9
271557247,2011,26.877392,37.661793,38.895815573227836,Mandragora autumnalis,7
271599892,2010,22.11583,37.64917,0.8958828691371312,Silene vulgaris,9
271599898,2010,22.16444,37.64889,89.58843616591106,Silene vulgaris,9
271643049,2018,21.615693,37.641303,25.895924800075278,Silene vulgaris,9
271686593,2019,24.342014,37.637783,6.895943559181358,Silene vulgaris,9
271815982,2010,22.15611,37.60917,8.960959907465046,Silene vulgaris,9
274581895,2012,22.368225,37.074362,40.98926882472855,Silene vulgaris,9
274625113,2018,22.3722,37.069286,5.8989535850718635,Silene vulgaris,9
275532653,2020,22.230202,36.894394,25.899871700835043,Carlina gummifera,5
278731397,2019,27.94664,36.273035,24.903103405491567,Mandragora autumnalis,7
278731403,2019,27.997318,36.274303,12.903096858735394,Silene vulgaris,9
278774630,2006,28.07778,36.26583,10.903140601568467,Mandragora autumnalis,7
279120335,2020,27.820182,36.202013,150.9034697808073,Mandragora autumnalis,7
279163552,2019,27.82469,36.196242,8.903499523961337,Mandragora autumnalis,7
279293196,2019,27.76248,36.165976,8.903655444846311,Silene vulgaris,9
279293224,2019,27.996953,36.171848,8.903625202959732,Mandragora autumnalis,7
282317904,2004,23.750997,35.584867,19.06627241698308,Mandragora autumnalis,7
282404383,2017,24.126389,35.568056,0.9067125922503103,Mandragora autumnalis,7
282533987,2019,23.735263,35.542809,20.90684070715001,Mandragora autumnalis,7
282663643,2016,23.772873,35.520042,0.9069561696523056,Mandragora autumnalis,7
282793280,2019,23.6542,35.4948,20.907084108965925,Mandragora autumnalis,7
282966206,2017,24.139236,35.461651,250.90725200496706,Silene vulgaris,9
283182230,2009,23.62889,35.4175,0.9074754131721896,Carlina gummifera,5
283225504,2017,24.108129,35.407755,63.907524691195725,Silene vulgaris,9
283268682,2017,23.779137,35.405612,35.90753552622859,Silene vulgaris,9
283311915,2009,23.91778,35.39333,90.75976131656424,Silene vulgaris,9
283614566,2017,25.01694,35.33373,100.90789863207463,Carlina gummifera,5
283873700,2009,23.61833,35.28306,9.081542015421082,Carlina gummifera,5
284133167,2019,24.98871,35.23529,24.908394851654478,Carlina gummifera,5
284219514,2017,24.268795,35.218197,10.908480891813408,Mandragora autumnalis,7
284219600,2019,24.98275,35.217,25.084869157290242,Carlina gummifera,5
284349406,2019,26.274053,35.191331,22.086160523428017,Mandragora autumnalis,7
284435617,2019,24.412113,35.174466,9.08700852805106,Mandragora autumnalis,7
284478982,2016,25.6448,35.171,14.087182761331928,Kleinia neriifolia,3
284565327,2018,24.905306,35.149736,132.90882513596563,Mandragora autumnalis,7
284954372,2019,25.670791,35.080329,9.091735410717646,Mandragora autumnalis,7
285084086,2004,26.19639,35.04861,10.90933256234026,Mandragora autumnalis,7
285300092,2015,25.54383,35.01166,9.095176507153056,Carlina gummifera,5
285472911,2019,25.129295,34.973902,20.909706610545562,Mandragora autumnalis,7
