"FoG_taxon_uid","lower","upper"
"1388",900,2100
"1389",0,300
"139",300,1200
"1390",0,600
"1391",900,2100
"1392",600,900
"1393",0,1500
"1394",300,2100
"1395",0,1500
"1396",0,1800
"1397",0,1800
"1398",0,1800
"1399",600,2100
"14",300,2100
"140",0,300
"1400",0,900
"1401",0,300
"1402",1500,1800
"1403",0,2100
"1404",0,1500
"1405",0,1800
"1406",1500,1800
"1407",0,2700
"1408",0,2400
"1409",0,600
"141",0,300
"1410",1200,1500
"1412",-9000,-8700
"1413",300,1500
"1414",0,1500
"1415",300,2400
"1417",-9000,-8700
"1419",1500,1800
"142",0,1800
"1420",0,1800
"1421",0,2400
"1422",1500,1800
"1423",0,1800
"1424",900,2400
"1425",0,1800
"1426",600,2100
"1427",0,2400
"1429",0,2100
"143",0,1200
"1430",1200,1500
"1431",300,2100
"1432",0,1800
"1433",900,1800
"1434",0,300
"1435",0,300
"1436",0,1800
"1437",0,300
"1438",1200,1500
"144",-9000,-8700
"1440",0,1800
"1442",0,600
"1443",1500,1800
"1444",900,1200
"1445",300,2400
"1446",600,2100
"1448",-9000,-8700
"1449",600,1800
"145",300,600
"1450",0,300
"1452",300,2700
"1453",0,1500
"1454",0,2100
"1455",600,1800
"1456",0,1800
"1457",300,600
"1458",1200,2100
"1459",0,600
"146",300,1500
"1460",0,600
"1461",-9000,-8700
"1462",0,1500
"1463",0,1800
"1464",300,600
"1465",-9000,-8700
"1467",0,300
"1468",900,1200
"1469",0,1500
"147",300,2400
"1470",0,2100
"1471",0,600
"1472",-9000,-8700
"1473",0,300
"1474",0,900
"1475",0,300
"1476",0,300
"1477",0,900
"1478",0,1500
"1479",0,1200
"148",300,2400
"1480",0,1200
"1481",0,900
"1482",-9000,-8700
"1483",0,300
"1484",-9000,-8700
"1485",-9000,-8700
"1486",900,2100
"1487",600,1200
"1489",1200,2400
"1490",600,2400
"1491",600,2400
"1492",1200,2100
"1493",0,1500
"1495",0,300
"1496",0,1500
"1499",0,300
"15",1500,2100
"150",2100,2700
"1500",0,1800
"1501",0,1200
"1502",0,1200
"1504",-9000,-8700
"1506",0,300
"1507",-9000,-8700
"1508",-9000,-8700
"1509",0,300
"151",0,2400
"1510",0,300
"1512",0,1200
"1513",0,1200
"1514",0,300
"1515",0,1200
"1516",0,300
"1517",0,300
"1518",0,1800
"1519",0,2400
"1520",600,2100
"1521",300,1800
"1522",300,1500
"1523",300,900
"1524",0,600
"1525",600,2100
"1527",900,1800
"1528",0,600
"1529",1200,1500
"153",1200,1500
"1531",900,1800
"1532",1200,1800
"1534",600,1500
"1535",-9000,-8700
"1536",900,1500
"1537",900,1200
"1538",0,2100
"1539",0,2400
"154",0,1200
"1541",0,1200
"1543",0,300
"1544",0,1200
"1545",0,1200
"1546",1200,1500
"1547",1500,1800
"1548",300,1200
"1549",300,1200
"155",-9000,-8700
"1550",600,1500
"1551",0,1200
"1552",0,1200
"1553",0,600
"1554",0,2100
"1555",0,300
"1556",600,900
"1557",1200,2400
"1559",0,1200
"1562",0,900
"1563",900,2700
"1565",-9000,-8700
"1566",300,1200
"1567",-9000,-8700
"1568",600,900
"1570",300,1200
"1571",0,300
"1572",0,1800
"1573",0,1500
"1574",0,900
"1575",600,2400
"1577",0,300
"158",0,300
"1580",300,900
"1581",0,1500
"1583",300,600
"1584",0,2100
"1585",300,600
"1586",900,1200
"1587",300,1800
"1588",600,900
"159",0,1500
"1590",0,600
"1591",0,300
"1593",1800,2100
"1594",1200,1500
"1595",300,600
"1596",0,1200
"1598",0,300
"16",0,1200
"160",0,1200
"1600",-9000,-8700
"1602",600,900
"1603",1200,1800
"1604",-9000,-8700
"1606",900,1200
"1607",1500,1800
"1608",-9000,-8700
"1609",600,2400
"1610",0,300
"1612",0,300
"1613",1800,2100
"1615",900,2400
"1616",600,1200
"1617",-9000,-8700
"1618",0,1800
"1619",-9000,-8700
"1621",300,1800
"1622",300,2400
"1623",300,600
"1624",600,2400
"1625",0,300
"1626",300,600
"1627",900,2100
"1628",900,2100
"1629",900,1500
"163",-9000,-8700
"1630",300,1200
"1631",-9000,-8700
"1632",0,300
"1633",0,1500
"1634",0,2100
"1635",0,2100
"1636",0,300
"1637",0,300
"1638",0,300
"1639",0,300
"1641",0,300
"1642",0,1800
"1643",0,600
"1644",300,600
"1645",0,1500
"1646",600,900
"1647",0,1500
"1648",0,300
"1649",600,1500
"1650",0,1200
"1651",0,2100
"1652",300,1800
"1653",0,1200
"1654",-9000,-8700
"1655",-9000,-8700
"1656",-9000,-8700
"1657",0,900
"166",0,1200
"1660",600,900
"1662",-9000,-8700
"1663",600,1200
"1664",600,900
"1665",0,300
"1666",0,1200
"1667",300,1500
"1668",0,1200
"167",0,2100
"1671",1500,1800
"1672",1800,2400
"1674",900,1500
"1675",0,1800
"1683",0,600
"1684",0,300
"1685",0,1200
"1686",0,1200
"1687",0,900
"1688",0,1500
"1689",0,900
"169",0,1800
"1690",600,1500
"1691",0,300
"1692",0,1500
"1693",0,2100
"1695",600,1500
"1696",0,2400
"1697",0,300
"1698",0,2100
"1699",0,2100
"17",300,1200
"170",0,600
"1701",1500,1800
"1702",0,2100
"1704",300,2100
"1705",600,1500
"1708",0,300
"1709",900,1800
"171",0,2100
"1711",900,2100
"1712",0,1500
"1713",0,2100
"1714",0,2100
"1715",600,2400
"1716",0,1800
"1717",0,1800
"1718",0,1200
"172",0,2400
"1720",0,1800
"1721",0,2400
"1722",0,900
"1723",600,900
"1724",600,2400
"1725",1800,2100
"1726",0,2100
"1727",300,2400
"1728",300,1200
"1729",900,1200
"1730",600,900
"1731",0,900
"1733",0,1200
"1735",0,2100
"1736",0,1200
"1737",0,1800
"1738",0,1500
"1739",600,1200
"174",1200,1500
"1740",300,600
"1741",0,300
"1742",0,1500
"1743",0,1800
"1744",600,2100
"1746",1200,1500
"1747",0,1800
"1749",900,1200
"175",0,2100
"1750",0,600
"1752",2700,3000
"1753",600,1800
"1754",0,300
"1755",0,900
"1756",0,300
"1757",0,300
"1758",0,1200
"1759",0,900
"176",0,300
"1763",0,1200
"1764",-9000,-8700
"1767",0,2100
"1768",0,1500
"177",0,1500
"1770",0,300
"1771",300,2100
"1772",300,2100
"1773",0,300
"1774",900,1200
"1775",900,1200
"1776",300,600
"1777",0,1800
"1779",300,600
"178",0,300
"1780",300,1800
"1781",300,1200
"1782",300,1500
"1783",0,300
"1784",0,2100
"1785",0,2400
"1786",0,1200
"1787",0,2100
"1789",0,1500
"179",0,900
"1790",0,1200
"1791",600,900
"1792",0,2100
"1793",0,1500
"1794",0,300
"1795",0,300
"1796",0,600
"1797",0,600
"1798",-9000,-8700
"1799",0,2100
"18",300,600
"180",0,1200
"1800",0,300
"1801",0,1500
"1802",0,900
"1803",900,2100
"1804",1800,2100
"1805",0,600
"1806",0,900
"1807",0,1800
"1808",900,2100
"1809",0,300
"1810",300,600
"1811",300,1500
"1812",1500,1800
"1813",300,600
"1814",0,1200
"1815",0,1800
"1816",0,900
"1817",300,600
"1818",0,900
"1819",0,1500
"182",0,1200
"1820",600,2400
"1821",0,1800
"1822",300,2100
"1823",0,2400
"1824",0,900
"1825",1500,1800
"1826",300,2100
"1827",300,2100
"1828",600,1800
"1829",0,2100
"183",0,1200
"1830",0,2100
"1832",600,1800
"1833",1200,1800
"1834",-9000,-8700
"1835",300,600
"1836",600,1800
"1837",0,1800
"1839",-9000,-8700
"184",1500,1800
"1840",0,1500
"1841",0,900
"1842",0,600
"1843",0,300
"1844",0,600
"1845",0,900
"1846",0,1500
"1847",900,1500
"185",1800,2400
"1850",0,300
"1851",0,300
"1852",0,900
"1853",1800,2100
"1854",0,1200
"1855",0,1800
"1856",0,1200
"1857",0,300
"1859",0,1800
"186",900,1500
"1860",1500,1800
"1861",0,1800
"1862",0,2100
"1863",0,2100
"1864",0,2100
"1865",0,1500
"1866",0,300
"1867",900,1200
"1868",-9000,-8700
"1869",900,1200
"187",1800,2100
"1870",0,300
"1871",0,2400
"1872",0,1200
"1874",0,2100
"1875",600,1800
"1877",300,600
"1878",-9000,-8700
"1879",0,300
"1881",600,2100
"1882",0,900
